"STATEFP","ST_FIP","GEOID","q1a","q1d","q6","q6c","age_median","pop_total","per_male","ratio_agedepen","hh_size","hh_samesex","hh_oc","per_25to64","per_edu_bachelor","income_median_hh","income_oc_to_rc","percent_flood","avg_month_drought","near_dist"
25,2527690,"2501527690","4","3","1","1",46.9,5.176,46.4451313755796,69,2.41,1.7,69.9,51.3910355486862,24.2658423493045,69.911,2.13963559545815,0,1,111.649895967
25,2564145,"2501564145","3","1","0","0",40.4,17.494,41.3570366982966,53.9,2.19,0.8,77.9,48.3823025037156,18.8007316794329,62.236,1.79817193045166,0.2216107,1,100.821393379
25,2531085,"2501731085","3","3","0","0",39.8,14.474,50.1934503247202,70.8,2.97,0.2,91.9,54.5944452121045,38.6969738842062,120.24,2.16528804027987,9.185863,1,41.6446184796
25,2570360,"2501770360","2","1","1","0",39.2,8.871,51.8769022658099,53.8,2.86,0.2,87,57.5019727200992,18.1602975989178,76.533,3.14146073585942,7.4652705,1,64.1261146117
25,2530945,"2502730945","2","2","1","0",40.6,5.902,46.6960352422907,52.6,2.56,0,86.6,60.7251779057946,28.1599457810912,97.227,2.27216276024026,10.8407954,1,36.2136961319
25,2534165,"2502734165","3","3","1","0",38.3,7.776,55.6198559670782,46,2.75,0.6,81.7,58.6162551440329,19.6630658436214,80.938,3.57185243440337,18.119019,1,53.4678868671
25,2541340,"2502741340","3","1","0","0",42.2,13.22,46.3615733736763,56.4,2.42,0.4,72.8,57.6701966717095,16.3237518910741,67.448,2.30066777963272,8.5494747,1,52.3298356028
25,2546925,"2502746925","2","1","1","0",37.9,15.287,49.5191993196834,64.7,2.73,0.7,70.2,53.6534310198208,18.4470465101066,68.016,2.90939094826269,15.0494015,1,41.0098818305
25,2552420,"2502752420","2","1","1","0",42.7,4.745,47.5026343519494,64.1,2.73,2.3,95.4,48.6406743940991,23.8777660695469,100.333,1.28184419713831,7.9897886,1,70.797789114
25,2555395,"2502755395","3","2","1","0",45,3.406,46.9759248385203,52.1,2.72,0,91.4,60.8044627128597,39.9882560187904,102.853,1.90389398138279,0,1,68.9536336836
25,2575015,"2502775015","4","2","1","1",37.6,18.272,51.2368651488616,64.7,2.69,0.3,67.1,54.4439579684764,37.9433012259194,96.069,1.70499867448231,17.6611622,1,46.8506885883
25,2575155,"2502775155","3","1","0","0",41.3,7.657,61.9955596186496,39,2.47,0.4,81,63.0795350659527,18.7410212877106,79.906,1.71773868942199,7.9481571,1,60.2301324609
26,2656200,"2600356200","2","1","1","0",52,2.542,45.9874114870181,89.3,2.05,3.2,60.2,46.6561762391817,9.36270653029111,34.65,2.78726977875594,0,6,1.92352337978
26,2635720,"2600535720","2","1","1","0",41.7,5.903,51.8888700660681,69,2.57,1.5,93.3,55.9207182788413,17.2624089446044,63.004,1.77313103448276,0.00550459,2,54.3485803429
26,2684880,"2600584880","4","4","1","1",31.6,4.079,49.7180681539593,69.5,2.58,0,68.6,49.5954890904633,8.13924981613141,44.646,3.52909579230081,0,2,47.300333046
26,2637120,"2601537120","2","2","1","1",35.9,7.395,46.6396213657877,68.7,2.43,0,64.3,49.3711967545639,8.6815415821501,42.562,2.22759199540575,10.7454068,2,76.1069700024
26,2626420,"2601726420","2","1","1","0",41.8,3.521,44.6180062482249,73.6,2.5,0.9,92.2,48.7361545015621,13.8028969042886,45.951,1.77682242990654,15.5528673,1,4.35961500585
26,2651940,"2602551940","3","1","1","0",36.9,7.16,47.4581005586592,67.7,2.39,1.7,73.2,51.6759776536313,19.4832402234637,44.771,2.07968388589052,5.6335366,2,109.997395331
26,2622880,"2602722880","1","1","1","0",34.7,5.93,45.9359190556492,69.8,2.41,0.2,60.4,49.5952782462057,4.89038785834739,32.02,1.99579684763573,6.3407968,2,35.0630215418
26,2624020,"2602924020","2","1","1","1",43,1.927,48.3134405812143,64.6,2.05,0,73.6,50.9081473793461,5.39699014011417,32.022,1.39549487057793,0,1,20.0562257996
26,2615920,"2603515920","3","1","1","0",37.7,3.103,40.9281340638092,72.6,2.19,0,46.4,47.0834676119884,9.95810505961972,29.047,4.14224760404359,12.385117,1,65.7270665254
26,2615920,"2603515920","3","1","1","0",37.7,3.103,40.9281340638092,72.6,2.19,0,46.4,47.0834676119884,9.95810505961972,29.047,4.14224760404359,12.385117,1,65.7270665254
26,2624120,"2603724120","4","3","1","1",26.9,1.49,41.8791946308725,36.3,2.45,0,64.9,52.4832214765101,41.0738255033557,50.179,7.98543689320388,19.8054672,1,110.588593591
26,2624120,"2603724120","4","3","1","1",26.9,1.49,41.8791946308725,36.3,2.45,0,64.9,52.4832214765101,41.0738255033557,50.179,7.98543689320388,19.8054672,1,110.588593591
26,2610220,"2604310220","2","1","1","0",46.4,5.899,51.601966434989,69.4,2.49,0.4,94.5,53.0259365994236,12.2393626038312,48.306,3.04142823080591,3.7630779,11,67.5899843142
26,2659220,"2604359220","4","1","1","1",39.3,2.896,49.896408839779,71.8,2.31,1,67.1,50.2762430939227,6.35359116022099,36.006,2.46932691205137,1.7307872,11,57.0847280253
26,2614820,"2604514820","2","1","1","0",35.7,9.126,46.6579005040544,79.4,2.43,0.4,71.3,48.8384834538681,8.13061582292351,42.379,2.27164003971478,4.0301956,1,114.336131408
26,2621520,"2604521520","4","2","1","0",41.4,32.217,48.2509234255207,56.3,2.27,0.6,65.4,54.3781233510259,23.6583170375889,60.565,1.93804926509922,8.1088872,1,122.619089694
26,2633280,"2604933280","3","1","1","0",40.2,8.395,49.434187016081,59.8,2.31,0.9,61.6,53.3889219773675,23.1804645622394,56.391,3.13158284571513,7.9875734,1,72.1588965242
26,2633300,"2604933300","4","2","1","0",35.5,36.534,49.6688016642032,61.2,2.66,0.5,71.3,53.2353424207587,19.1766573602671,60.542,2.09230251912461,4.1329671,1,72.7948290931
26,2647820,"2604947820","2","1","1","0",36.9,3.843,47.9833463440021,85.9,2.52,0,94,50.9237574811345,18.9175123601353,60.234,2.79042150593762,8.7779685,1,80.2665985545
26,2655960,"2604955960","1","1","1","0",35.6,3.141,42.0885068449538,58.7,2.35,0,52.4,54.1547277936963,4.29799426934097,30.805,1.79964595342926,0,0,54.8126441055
26,2632320,"2605132320","2","2","1","0",43,2.967,45.2645770138187,97.9,2.05,0,62.7,45.0960566228514,9.84159083249073,25.136,3.73352855051245,0,1,46.4229585533
26,2641060,"2605341060","2","2","1","0",44.1,5.49,51.384335154827,69.3,2.02,0,70.9,50.2185792349727,11.5846994535519,29.693,2.09466196157509,0,8.875,21.1349280523
26,2641340,"2605741340","3","1","1","0",38.1,2.953,49.2719268540467,63.9,2.58,0,79.3,52.353538774128,7.5516423975618,39.042,2.61188888888889,5.1032774,0,70.7413731929
26,2653140,"2606553140","4","3","1","1",38.9,39.669,47.1678136580201,51.9,2.29,0.7,62.3,53.7699463056795,35.9323401144471,63.93,3.25538781511098,15.5294686,1,113.724363655
26,2665860,"2606765860","2","2","1","0",35.8,3.902,45.8482829318298,54.4,2.34,0,69.1,53.6904151717068,13.9928241927217,46.496,2.59449510583117,14.2618026,1,107.413512633
26,2641420,"2607541420","2","1","1","1",33.1,34.349,47.229904800722,61.8,2.4,0.1,58.7,51.9665783574485,7.92162799499258,30.641,2.8445622656149,7.3083242,2,93.8256968036
26,2642160,"2607742160","3","2","1","0",25.7,74.318,48.6207917328238,41.6,2.32,1,46.4,42.5065260098496,13.6871282865524,29.919,2.79041073651172,5.9561318,2,59.9575314663
26,2613660,"2608113660","3","3","0","0",41.9,16.819,51.7034306439146,72.4,2.72,0.5,92,52.2504310601106,33.4264819549319,94.313,4.07234232045988,0,1.588888889,59.3555618018
26,2614200,"2608114200","3","1","1","0",36,3.467,52.9852898759735,62.8,2.67,0.8,58.4,52.3507355062013,5.13412171906547,42.943,1.60070275817034,0,1,57.0400376519
26,2634000,"2608134000","3","3","1","0",30.7,190.441,48.4149946702653,56.9,2.47,1.1,59.1,49.7293124904826,14.6523070137208,38.344,2.45415659289567,0,1.033613445,45.9728650624
26,2634160,"2608134160","2","1","1","0",34.7,15.598,48.7690729580715,64.6,2.57,0.6,73,49.9615335299397,17.5471214258238,50.984,2.02645068016035,0.0015072,1.222222222,37.7737634725
26,2682960,"2608182960","2","1","0","1",35.2,23.29,47.5955345641906,53.3,2.33,0.5,63.7,52.0008587376556,14.6028338342636,49.189,2.23473638844994,0.000303093,1,38.8499093247
26,2646040,"2608746040","2","1","1","0",34.8,9.077,52.847857221549,63.6,2.23,0,50.9,51.7241379310345,9.07788917043076,33.316,2.75463153561136,10.4691925,1,60.3954896045
26,2610640,"2609310640","2","2","1","0",41.4,18.245,51.8991504521787,57.9,2.83,0.2,94.1,54.9684845163058,23.5571389421759,93.327,1.88739390620722,1.3620172,1,59.3844308659
26,2631860,"2609331860","2","1","1","0",41.8,19.662,47.8028684772658,59.4,2.49,0.5,83.8,55.2436171294884,20.5116468314515,67.548,2.21044183738983,3.4872719,1,67.7807316752
26,2639540,"2609339540","1","1","1","1",35.6,9.685,49.7676819824471,58.7,2.3,0,58.2,53.8771295818276,13.2885906040268,43.094,1.71728071527671,4.8803634,1,76.1994660814
26,2669800,"2609969800","2","2","1","0",38.8,47.83,48.6870165168304,58.1,2.39,0.7,74.2,54.9048714196111,6.7008153878319,41.853,1.95678478824546,0,1,4.45780680759
26,2670760,"2609970760","2","2","1","0",43.8,60.776,46.7536527576675,64.1,2.23,0.3,83.6,54.2812952481243,13.9347768856127,52.357,1.80758790677358,2.9368921,1,0.771551761898
26,2676460,"2609976460","2","2","0","0",39.1,129.687,48.5091026856971,57.3,2.63,0.5,79.1,54.9284045432464,16.5745217330958,58.073,1.89281595940959,7.6843403,1,13.6248184312
26,2681540,"2609981540","2","2","1","1",39.3,4.757,48.2657136850956,48.8,2.34,0,65,57.7044355686357,13.6640739962161,46.25,2.22408707150849,9.5808436,1,15.2175413271
26,2641220,"2610341220","2","2","1","0",37.6,6.501,49.4846946623596,61.8,2.43,0,75,52.3150284571604,11.2444239347793,39.065,3.11527471100143,0,11,22.1580584292
26,2651900,"2610351900","3","3","1","1",31.7,21.247,51.7155363110086,36.3,2.22,0.2,53.2,45.2110886242764,18.98150327105,36.797,3.43060342469501,6.6265412,10.74193548,0.607770065751
26,2656360,"2612156360","3","2","1","1",30.8,11.157,42.869947118401,72,2.57,0,50.8,46.7957336201488,1.95393026799319,20.362,1.789888,3.4756675,0,5.35055268161
26,2659140,"2612159140","3","1","0","0",42.5,23.916,48.0013380163907,68.3,2.42,0.5,86,50.6815520990132,16.8381000167252,49.299,1.98654579466149,5.1355459,0,3.78653346207
26,2669520,"2612169520","2","2","0","0",35.3,3.876,46.671826625387,72.3,2.35,0.5,59.2,48.1166150670795,11.3519091847265,42.069,2.01834387366397,0,0,3.51889275751
